CATEGORY,SUB CATEGORY,UNIT,DESIGNATION,NAME,VPN,MOBILE1,MOBILE2,STD,LANDLINE1,LANDLINE2, FAX,EMAIL,ADDRESS
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP (HQ),,10013,9497996996,,0471,2726271,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP (HQ),,10013,,,0471,2726271,,2726271,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Special Cell],,10014,9497996995,,0471,2311200,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP [NRI Cell],,10015,9497996994,,0471,2312030,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP [Motor Transport,,10017,9497996993,,0471,2726809,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP [Motor Transport,,10017,,,0471,2726809,,2726809,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),SP (Women cell),,10016,9497996992,,0471,2338100,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Legal Advisor,,,9495434954,,0471,2724373,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Senior  Finance Officer,,10018,,,0471,2723037,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Deputy Director,,10060,9497998995,,0471,2318188,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Police Information Centre][Ext.] ,,,,,,1135,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Manager,,,94979 65300,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1254,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Dy SP Motor Transpor,,,94979 90149,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1217,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Dy SP Special Team,,,94979 90318,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.] ,,,,,,1215,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Dy SP NRI Cell,,,94979 90150,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1219,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Dy SP Arms,,,94979 00477,,0471 ,2320471,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Dy SP Women Cell,,,94979 90011,,0471,2338100,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Chief Store,,10021,,,0471 ,2320471,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Accounts Officer ,,,94979 65279,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1253,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Inspector Hi - Tech Cell,,,94979 90330,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX), [Ext.],,,,,,1154,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Inspector NRI Cell,,,94979 87225,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1219,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Inspector Special Team,,,94979 87224,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX), [Ext.],,,,,,1226,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),"Student Police Cadet Office, PHQ ",,,,,0471 ,2722876,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Welfare Bureau,,13448,94979 90240,,0471 ,2315548,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Duty Officer PHQ,,,94979 81134,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.],,,,,,1298,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Communication &Computer Lab,,,94979 75909,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Help Line,,,70258 00100,,,,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Highway Alert,,,98461 00100,,,,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),NRI Cell 24 Hours,,,,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),CSN Stadium,,10022,,,0471 ,2305251,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Service Help desk ,,,94979 81338 ,94979 81339,,,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Smart Card ,,,,,0471 ,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX), [Ext.],,,,,,1178,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Information Centre,,,9497900434,94979 70322,0471,2318188,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),[Ext.] ,,,,,,1135,,,,
CATEGORY,SPECIAL BRANCH CID        ,,ADGP  [Int.],,10041,94979 09999 ,,0471 ,2554452,,2555123,,
CATEGORY,SPECIAL BRANCH CID        ,,IGP [Int.],,10046,94979 98985 ,,0471 ,2558678,,,,
CATEGORY,SPECIAL BRANCH CID        ,,IGP [Security],,,94979 98989,,0471 ,2311123,,,,
CATEGORY,SPECIAL BRANCH CID        ,,DIG [Internal Security],,,94979 97999,,0471 ,2553377,,,,
CATEGORY,SPECIAL BRANCH CID        ,,DIG [SEC],,,94979 96961,,,,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SP [Admn],,10049,94979 96959 ,,0471 ,2440014,,,,
